Transportation expense,Distance from Residence to Work,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
289,36,33,239.554,97,0,1,2,1,0,1,90,172,30,4
118,13,50,239.554,97,1,1,1,1,0,0,98,178,31,0
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,2
279,5,39,239.554,97,0,1,2,1,1,0,68,168,24,4
289,36,33,239.554,97,0,1,2,1,0,1,90,172,30,2
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,2
361,52,28,239.554,97,0,1,1,1,0,4,80,172,27,8
260,50,36,239.554,97,0,1,4,1,0,0,65,168,23,4
155,12,34,239.554,97,0,1,2,1,0,0,95,196,25,40
235,11,37,239.554,97,0,3,1,0,0,1,88,172,29,8
260,50,36,239.554,97,0,1,4,1,0,0,65,168,23,8
260,50,36,239.554,97,0,1,4,1,0,0,65,168,23,8
260,50,36,239.554,97,0,1,4,1,0,0,65,168,23,8
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,1
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,4
246,25,41,239.554,97,0,1,0,1,0,0,67,170,23,8
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,2
179,51,38,239.554,97,0,1,0,1,0,0,89,170,31,8
189,29,33,239.554,97,0,1,2,0,0,2,69,167,25,8
248,25,47,205.917,92,0,1,2,0,0,1,86,165,32,2
330,16,28,205.917,92,0,2,0,0,0,0,84,182,25,8
179,51,38,205.917,92,0,1,0,1,0,0,89,170,31,1
361,52,28,205.917,92,0,1,1,1,0,4,80,172,27,40
260,50,36,205.917,92,0,1,4,1,0,0,65,168,23,4
289,36,33,205.917,92,0,1,2,1,0,1,90,172,30,8
361,52,28,205.917,92,0,1,1,1,0,4,80,172,27,7
289,36,33,205.917,92,0,1,2,1,0,1,90,172,30,1
157,27,29,205.917,92,0,1,0,1,1,0,75,185,22,4
289,36,33,205.917,92,0,1,2,1,0,1,90,172,30,8
179,51,38,205.917,92,0,1,0,1,0,0,89,170,31,2
179,51,38,205.917,92,0,1,0,1,0,0,89,170,31,8
235,29,48,205.917,92,0,1,1,0,1,5,88,163,33,8
235,11,37,205.917,92,0,3,1,0,0,1,88,172,29,4
235,29,48,205.917,92,0,1,1,0,1,5,88,163,33,8
179,51,38,205.917,92,0,1,0,1,0,0,89,170,31,2
361,52,28,205.917,92,0,1,1,1,0,4,80,172,27,1
289,36,33,205.917,92,0,1,2,1,0,1,90,172,30,8
291,50,32,205.917,92,0,1,0,1,0,0,65,169,23,4
235,29,48,205.917,92,0,1,1,0,1,5,88,163,33,8
260,50,36,205.917,92,0,1,4,1,0,0,65,168,23,4
184,42,27,241.476,92,0,1,0,0,0,0,58,167,21,2
118,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4
179,51,38,241.476,92,0,1,0,1,0,0,89,170,31,4
235,20,43,241.476,92,0,1,1,1,0,0,106,167,38,8
155,12,34,241.476,92,0,1,2,1,0,0,95,196,25,2
118,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3
179,51,38,241.476,92,0,1,0,1,0,0,89,170,31,3
291,31,40,241.476,92,0,1,1,1,0,1,73,171,25,4
260,50,36,241.476,92,0,1,4,1,0,0,65,168,23,8
291,31,40,241.476,92,0,1,1,1,0,1,73,171,25,32
260,50,36,241.476,92,1,1,4,1,0,0,65,168,23,0
225,26,28,241.476,92,1,1,1,0,0,2,69,169,24,0
225,26,28,241.476,92,0,1,1,0,0,2,69,169,24,2
118,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2
289,36,33,241.476,92,1,1,2,1,0,1,90,172,30,0
118,13,50,241.476,92,1,1,1,1,0,0,98,178,31,0
225,26,28,241.476,92,0,1,1,0,0,2,69,169,24,3
179,51,38,241.476,92,0,1,0,1,0,0,89,170,31,3
369,17,31,241.476,92,1,1,3,1,0,0,70,169,25,0
248,25,47,241.476,92,0,1,2,0,0,1,86,165,32,1
179,51,38,241.476,92,0,1,0,1,0,0,89,170,31,3
260,50,36,241.476,92,0,1,4,1,0,0,65,168,23,4
179,51,38,253.465,93,0,1,0,1,0,0,89,170,31,3
118,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
118,13,50,253.465,93,1,1,1,1,0,0,98,178,31,0
179,26,30,253.465,93,0,3,0,0,0,0,56,171,19,1
179,51,38,253.465,93,0,1,0,1,0,0,89,170,31,3
225,26,28,253.465,93,0,1,1,0,0,2,69,169,24,3
118,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3
225,26,28,253.465,93,0,1,1,0,0,2,69,169,24,2
248,25,47,253.465,93,0,1,2,0,0,1,86,165,32,2
291,31,40,253.465,93,0,1,1,1,0,1,73,171,25,5
179,51,38,253.465,93,0,1,0,1,0,0,89,170,31,8
225,26,28,253.465,93,0,1,1,0,0,2,69,169,24,3
260,50,36,253.465,93,0,1,4,1,0,0,65,168,23,16
291,31,40,253.465,93,0,1,1,1,0,1,73,171,25,8
225,26,28,253.465,93,0,1,1,0,0,2,69,169,24,2
289,36,33,253.465,93,0,1,2,1,0,1,90,172,30,8
361,52,28,253.465,93,0,1,1,1,0,4,80,172,27,1
260,50,36,253.465,93,0,1,4,1,0,0,65,168,23,3
179,51,38,306.345,93,0,1,0,1,0,0,89,170,31,1
225,26,28,306.345,93,0,1,1,0,0,2,69,169,24,1
179,51,38,306.345,93,0,1,0,1,0,0,89,170,31,8
179,22,40,306.345,93,0,2,2,0,1,0,63,170,22,8
291,31,40,306.345,93,0,1,1,1,0,1,73,171,25,5
155,12,34,306.345,93,0,1,2,1,0,0,95,196,25,32
189,29,33,306.345,93,0,1,2,0,0,2,69,167,25,8
291,31,40,306.345,93,0,1,1,1,0,1,73,171,25,40
225,26,28,306.345,93,0,1,1,0,0,2,69,169,24,1
155,12,34,306.345,93,0,1,2,1,0,0,95,196,25,8
225,26,28,306.345,93,0,1,1,0,0,2,69,169,24,3
179,22,40,306.345,93,0,2,2,0,1,0,63,170,22,8
225,26,28,306.345,93,0,1,1,0,0,2,69,169,24,3
260,50,36,306.345,93,0,1,4,1,0,0,65,168,23,4
248,25,47,306.345,93,0,1,2,0,0,1,86,165,32,1
225,26,28,306.345,93,0,1,1,0,0,2,69,169,24,3
289,36,33,306.345,93,0,1,2,1,0,1,90,172,30,24
291,31,40,306.345,93,0,1,1,1,0,1,73,171,25,3
248,25,47,261.306,97,0,1,2,0,0,1,86,165,32,1
118,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64
118,13,50,261.306,97,0,1,1,1,0,0,98,178,31,2
235,11,37,261.306,97,0,3,1,0,0,1,88,172,29,8
225,26,28,261.306,97,0,1,1,0,0,2,69,169,24,2
260,50,36,261.306,97,0,1,4,1,0,0,65,168,23,8
118,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56
361,52,28,261.306,97,0,1,1,1,0,4,80,172,27,8
225,26,28,261.306,97,0,1,1,0,0,2,69,169,24,3
260,50,36,261.306,97,0,1,4,1,0,0,65,168,23,3
225,26,28,261.306,97,0,1,1,0,0,2,69,169,24,2
361,52,28,261.306,97,0,1,1,1,0,4,80,172,27,8
118,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2
246,25,41,261.306,97,0,1,0,1,0,0,67,170,23,8
225,26,28,261.306,97,0,1,1,0,0,2,69,169,24,2
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,1
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1
155,12,34,308.593,95,0,1,2,1,0,0,95,196,25,8
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,2
184,42,27,308.593,95,0,1,0,0,0,0,58,167,21,2
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,2
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,1
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
179,26,30,308.593,95,0,3,0,0,0,0,56,171,19,8
289,36,33,308.593,95,0,1,2,1,0,1,90,172,30,8
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
184,42,27,308.593,95,0,1,0,0,0,0,58,167,21,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2
118,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0
225,26,28,308.593,95,0,1,1,0,0,2,69,169,24,1
289,36,33,308.593,95,0,1,2,1,0,1,90,172,30,3
184,42,27,302.585,99,0,1,0,0,0,0,58,167,21,1
246,25,41,302.585,99,0,1,0,1,0,0,67,170,23,8
179,51,38,302.585,99,0,1,0,1,0,0,89,170,31,8
155,12,34,302.585,99,0,1,2,1,0,0,95,196,25,2
189,29,33,302.585,99,0,1,2,0,0,2,69,167,25,8
260,50,36,302.585,99,0,1,4,1,0,0,65,168,23,2
289,36,33,302.585,99,0,1,2,1,0,1,90,172,30,8
388,15,50,302.585,99,0,1,0,0,0,0,76,178,24,8
388,15,50,302.585,99,0,1,0,0,0,0,76,178,24,8
225,26,28,302.585,99,0,1,1,0,0,2,69,169,24,2
225,26,28,302.585,99,0,1,1,0,0,2,69,169,24,2
179,26,30,302.585,99,0,3,0,0,0,0,56,171,19,1
184,42,27,302.585,99,0,1,0,0,0,0,58,167,21,8
225,26,28,302.585,99,0,1,1,0,0,2,69,169,24,3
330,16,28,302.585,99,0,2,0,0,0,0,84,182,25,8
330,16,28,302.585,99,0,2,0,0,0,0,84,182,25,1
225,26,28,302.585,99,0,1,1,0,0,2,69,169,24,1
189,29,33,302.585,99,0,1,2,0,0,2,69,167,25,8
291,50,32,343.253,95,0,1,0,1,0,0,65,169,23,2
260,50,36,343.253,95,0,1,4,1,0,0,65,168,23,8
157,27,29,343.253,95,0,1,0,1,1,0,75,185,22,3
179,22,40,343.253,95,0,2,2,0,1,0,63,170,22,8
291,31,40,343.253,95,0,1,1,1,0,1,73,171,25,8
260,50,36,343.253,95,0,1,4,1,0,0,65,168,23,8
179,26,30,343.253,95,0,3,0,0,0,0,56,171,19,8
248,25,47,343.253,95,0,1,2,0,0,1,86,165,32,3
260,50,36,343.253,95,0,1,4,1,0,0,65,168,23,40
179,22,40,343.253,95,0,2,2,0,1,0,63,170,22,40
155,12,34,343.253,95,0,1,2,1,0,0,95,196,25,16
260,50,36,343.253,95,0,1,4,1,0,0,65,168,23,16
155,12,34,343.253,95,0,1,2,1,0,0,95,196,25,8
289,36,33,343.253,95,0,1,2,1,0,1,90,172,30,8
179,22,40,343.253,95,0,2,2,0,1,0,63,170,22,8
260,50,36,343.253,95,0,1,4,1,0,0,65,168,23,4
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,1
279,5,39,343.253,95,0,1,2,1,1,0,68,168,24,8
179,51,38,343.253,95,0,1,0,1,0,0,89,170,31,24
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,2
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,8
179,26,30,343.253,95,0,3,0,0,0,0,56,171,19,1
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,8
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,16
179,51,38,343.253,95,0,1,0,1,0,0,89,170,31,3
279,5,39,343.253,95,0,1,2,1,1,0,68,168,24,16
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,2
248,25,47,343.253,95,0,1,2,0,0,1,86,165,32,3
225,26,28,343.253,95,0,1,1,0,0,2,69,169,24,1
291,31,40,326.452,96,0,1,1,1,0,1,73,171,25,1
225,26,28,326.452,96,0,1,1,0,0,2,69,169,24,1
155,12,34,326.452,96,0,1,2,1,0,0,95,196,25,1
246,25,41,326.452,96,0,1,0,1,0,0,67,170,23,24
155,12,34,326.452,96,0,1,2,1,0,0,95,196,25,1
225,26,28,326.452,96,0,1,1,0,0,2,69,169,24,2
260,50,36,326.452,96,0,1,4,1,0,0,65,168,23,4
179,51,38,326.452,96,0,1,0,1,0,0,89,170,31,24
118,13,50,326.452,96,0,1,1,1,0,0,98,178,31,1
291,31,40,326.452,96,0,1,1,1,0,1,73,171,25,3
246,25,41,326.452,96,0,1,0,1,0,0,67,170,23,8
291,31,40,326.452,96,0,1,1,1,0,1,73,171,25,1
248,25,47,326.452,96,0,1,2,0,0,1,86,165,32,8
260,50,36,326.452,96,0,1,4,1,0,0,65,168,23,56
289,36,33,326.452,96,0,1,2,1,0,1,90,172,30,8
155,12,34,326.452,96,0,1,2,1,0,0,95,196,25,24
378,49,36,326.452,96,0,1,2,0,1,4,65,174,21,8
289,36,33,326.452,96,0,1,2,1,0,1,90,172,30,16
235,11,37,326.452,96,0,3,1,0,0,1,88,172,29,3
235,29,48,326.452,96,1,1,1,0,1,5,88,163,33,0
289,36,33,378.884,92,0,1,2,1,0,1,90,172,30,8
155,12,34,378.884,92,0,1,2,1,0,0,95,196,25,2
155,12,34,378.884,92,0,1,2,1,0,0,95,196,25,1
179,51,38,378.884,92,0,1,0,1,0,0,89,170,31,8
225,26,28,378.884,92,0,1,1,0,0,2,69,169,24,8
184,42,27,378.884,92,0,1,0,0,0,0,58,167,21,4
155,12,34,378.884,92,0,1,2,1,0,0,95,196,25,2
179,51,38,378.884,92,0,1,0,1,0,0,89,170,31,1
289,36,33,378.884,92,0,1,2,1,0,1,90,172,30,24
279,5,39,378.884,92,1,1,2,1,1,0,68,168,24,0
330,16,28,378.884,92,1,2,0,0,0,0,84,182,25,0
378,49,36,378.884,92,1,1,2,0,1,4,65,174,21,0
388,15,50,378.884,92,1,1,0,0,0,0,76,178,24,0
179,51,38,378.884,92,0,1,0,1,0,0,89,170,31,1
118,13,50,378.884,92,0,1,1,1,0,0,98,178,31,24
361,52,28,378.884,92,0,1,1,1,0,4,80,172,27,8
246,25,41,377.55,94,0,1,0,1,0,0,67,170,23,8
361,52,28,377.55,94,0,1,1,1,0,4,80,172,27,8
246,25,41,377.55,94,0,1,0,1,0,0,67,170,23,24
291,31,40,377.55,94,0,1,1,1,0,1,73,171,25,4
246,25,41,377.55,94,0,1,0,1,0,0,67,170,23,8
179,51,38,377.55,94,0,1,0,1,0,0,89,170,31,8
155,12,34,377.55,94,0,1,2,1,0,0,95,196,25,4
246,25,41,377.55,94,0,1,0,1,0,0,67,170,23,8
118,13,50,377.55,94,0,1,1,1,0,0,98,178,31,8
235,11,37,377.55,94,0,3,1,0,0,1,88,172,29,16
118,13,50,377.55,94,0,1,1,1,0,0,98,178,31,1
118,13,50,377.55,94,0,1,1,1,0,0,98,178,31,80
378,49,36,377.55,94,0,1,2,0,1,4,65,174,21,8
179,51,38,377.55,94,0,1,0,1,0,0,89,170,31,2
289,48,49,377.55,94,0,1,0,0,0,2,108,172,36,2
225,26,28,377.55,94,0,1,1,0,0,2,69,169,24,2
155,12,34,275.312,98,0,1,2,1,0,0,95,196,25,16
118,13,50,275.312,98,0,1,1,1,0,0,98,178,31,8
118,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8
118,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4
330,16,28,275.312,98,0,2,0,0,0,0,84,182,25,8
179,26,30,275.312,98,0,3,0,0,0,0,56,171,19,8
155,12,34,275.312,98,0,1,2,1,0,0,95,196,25,2
330,16,28,275.312,98,0,2,0,0,0,0,84,182,25,8
330,16,28,275.312,98,0,2,0,0,0,0,84,182,25,8
157,27,29,275.312,98,0,1,0,1,1,0,75,185,22,3
361,52,28,275.312,98,0,1,1,1,0,4,80,172,27,8
289,36,33,275.312,98,0,1,2,1,0,1,90,172,30,8
179,51,38,275.312,98,0,1,0,1,0,0,89,170,31,8
289,36,33,275.312,98,0,1,2,1,0,1,90,172,30,32
289,36,33,275.312,98,0,1,2,1,0,1,90,172,30,8
260,50,36,275.312,98,1,1,4,1,0,0,65,168,23,0
289,36,33,265.615,94,0,1,2,1,0,1,90,172,30,8
157,27,29,265.615,94,0,1,0,1,1,0,75,185,22,3
289,36,33,265.615,94,0,1,2,1,0,1,90,172,30,1
228,14,58,265.615,94,0,1,2,0,0,1,65,172,22,8
300,26,43,265.615,94,0,1,2,1,1,1,77,175,25,1
300,26,43,265.615,94,0,1,2,1,1,1,77,175,25,2
260,50,36,265.615,94,0,1,4,1,0,0,65,168,23,4
289,36,33,265.615,94,0,1,2,1,0,1,90,172,30,4
248,25,47,265.615,94,0,1,2,0,0,1,86,165,32,1
268,11,33,265.615,94,0,2,0,0,0,0,79,178,25,8
179,26,30,265.615,94,0,3,0,0,0,0,56,171,19,1
118,13,50,265.615,94,0,1,1,1,0,0,98,178,31,3
248,25,47,265.615,94,0,1,2,0,0,1,86,165,32,2
235,11,37,265.615,94,0,3,1,0,0,1,88,172,29,1
118,13,50,265.615,94,0,1,1,1,0,0,98,178,31,1
235,11,37,265.615,94,0,3,1,0,0,1,88,172,29,8
361,52,28,265.615,94,0,1,1,1,0,4,80,172,27,8
184,42,27,265.615,94,0,1,0,0,0,0,58,167,21,8
179,51,38,294.217,81,0,1,0,1,0,0,89,170,31,8
179,51,38,294.217,81,0,1,0,1,0,0,89,170,31,3
289,36,33,294.217,81,0,1,2,1,0,1,90,172,30,24
235,20,43,294.217,81,1,1,1,1,0,0,106,167,38,0
246,25,41,294.217,81,0,1,0,1,0,0,67,170,23,16
291,31,40,294.217,81,0,1,1,1,0,1,73,171,25,3
231,35,39,294.217,81,1,1,2,1,0,2,100,170,35,0
291,50,32,294.217,81,1,1,0,1,0,0,65,169,23,0
179,51,38,294.217,81,0,1,0,1,0,0,89,170,31,8
246,25,41,294.217,81,0,1,0,1,0,0,67,170,23,32
179,51,38,294.217,81,0,1,0,1,0,0,89,170,31,1
291,31,40,294.217,81,0,1,1,1,0,1,73,171,25,4
260,50,36,294.217,81,0,1,4,1,0,0,65,168,23,4
235,20,43,294.217,81,0,1,1,1,0,0,106,167,38,8
118,13,50,294.217,81,0,1,1,1,0,0,98,178,31,1
235,20,43,294.217,81,1,1,1,1,0,0,106,167,38,0
291,31,40,294.217,81,0,1,1,1,0,1,73,171,25,3
291,31,40,294.217,81,0,1,1,1,0,1,73,171,25,40
179,51,38,294.217,81,0,1,0,1,0,0,89,170,31,8
289,36,33,265.017,88,0,1,2,1,0,1,90,172,30,8
235,11,37,265.017,88,0,3,1,0,0,1,88,172,29,4
289,36,33,265.017,88,0,1,2,1,0,1,90,172,30,8
289,36,33,265.017,88,0,1,2,1,0,1,90,172,30,8
118,13,50,265.017,88,1,1,1,1,0,0,98,178,31,0
248,25,47,265.017,88,1,1,2,0,0,1,86,165,32,0
179,26,30,265.017,88,0,3,0,0,0,0,56,171,19,8
118,10,37,265.017,88,0,1,0,0,0,0,83,172,28,3
369,17,31,265.017,88,0,1,3,1,0,0,70,169,25,8
179,51,38,265.017,88,0,1,0,1,0,0,89,170,31,1
179,26,30,265.017,88,0,3,0,0,0,0,56,171,19,64
235,20,43,265.017,88,1,1,1,1,0,0,106,167,38,0
289,36,33,265.017,88,0,1,2,1,0,1,90,172,30,16
260,50,36,265.017,88,0,1,4,1,0,0,65,168,23,3
235,20,43,265.017,88,1,1,1,1,0,0,106,167,38,0
235,20,43,265.017,88,0,1,1,1,0,0,106,167,38,2
235,20,43,265.017,88,0,1,1,1,0,0,106,167,38,2
118,13,50,265.017,88,0,1,1,1,0,0,98,178,31,1
291,31,40,265.017,88,0,1,1,1,0,1,73,171,25,4
179,26,30,265.017,88,0,3,0,0,0,0,56,171,19,16
118,13,50,265.017,88,0,1,1,1,0,0,98,178,31,1
361,52,28,265.017,88,0,1,1,1,0,4,80,172,27,8
260,50,36,265.017,88,1,1,4,1,0,0,65,168,23,0
291,31,40,265.017,88,1,1,1,1,0,1,73,171,25,0
157,27,29,265.017,88,1,1,0,1,1,0,75,185,22,0
179,26,30,265.017,88,0,3,0,0,0,0,56,171,19,5
179,26,30,265.017,88,0,3,0,0,0,0,56,171,19,5
118,13,50,265.017,88,0,1,1,1,0,0,98,178,31,1
118,10,37,284.031,97,0,1,0,0,0,0,83,172,28,8
248,25,47,284.031,97,0,1,2,0,0,1,86,165,32,2
179,51,38,284.031,97,0,1,0,1,0,0,89,170,31,8
260,50,36,284.031,97,0,1,4,1,0,0,65,168,23,3
291,31,40,284.031,97,0,1,1,1,0,1,73,171,25,1
378,49,36,284.031,97,0,1,2,0,1,4,65,174,21,8
155,12,34,284.031,97,0,1,2,1,0,0,95,196,25,120
235,20,43,284.031,97,0,1,1,1,0,0,106,167,38,8
330,16,28,284.031,97,1,2,0,0,0,0,84,182,25,0
235,11,37,284.031,97,0,3,1,0,0,1,88,172,29,1
118,10,37,284.031,97,0,1,0,0,0,0,83,172,28,3
235,11,37,284.031,97,0,3,1,0,0,1,88,172,29,2
179,51,38,284.031,97,0,1,0,1,0,0,89,170,31,3
246,25,41,284.031,97,0,1,0,1,0,0,67,170,23,8
291,31,40,284.031,97,0,1,1,1,0,1,73,171,25,4
